July,EUW Challenger Series #9,$400 ,8
July,GGLA Challenger Arena 1,"$1,000 ",4
July,EUW Challenger Series #8,$400 ,8
June,PxL LAN 38,"€ 1,000",14
June,The Summit: Arena 2013,"€ 4,000",10
June,Malaysia Spring Season Finals 2013,"RM 10,400",8
June,EUW Challenger Series #7,$400 ,8
June,SCAN & NVIDIA EUW Invitational,"£ 3,000",8
May,Season 3 Hong Kong and Macao Qualifier,"HK$ 15,000",64
May,EUW Challenger Series #6,$400 ,8
May,EUW Challenger Series #5,$400 ,8
May,EUW Challenger Series #4,$400 ,8
May,EUW Challenger Series #3,$400 ,8
April,EUW Challenger Series #2,$400 ,8
April,Dell Invitational Cup II,"$1,000 ",8
April,SoloMid EU Invitational 4,"$1,000 ",8
April,EUW Challenger Series #1,$750 ,8
April,SoloMid EU Invitational 3,"$1,000 ",8
March,Clutch Arena 2,$500 ,16
March,Insomnia48 Spring 2013,"£ 2,500",25
March,We Will Do It Ourselves Cup,"$1,000 ",16
March,SoloMid EU Invitational 2,"$2,000 ",8
March,Go4LoL Pro Asia 2013 Season 1,"? 10,000",8
February,Dell Invitational Cup,"? 18,000,000",8
February,Championnat Francophone,"€ 4,000",8
January,Ozone Evolution Cup Season 1,"$76,000 ",4
January,SoloMid NA Invitational 12,"$2,000 ",8
July,IEM Season VIII - Shanghai,"$30,000 ",4
July,Riot Season 3 Turkish Championship,"$61,352 ",8
July,Riot Season 3 Brazilian Championship,"$60,000 ",8
July,LCS Season 3 Tenerife Spring Promotion Qualifier,"$30,000 ",4
July,2013 LPL Summer,"$233,450 ",8
July,Gfinity London 2013,"$55,000 ",8
July,Riot Season 3 Oceanic Championship,"$36,607 ",4
July,StarsWar 8,"$26,109 ",6
July,HOT6iX Champions Summer 2013,"$236,008 ",16
June,2013 MLG Spring Championship,"$30,000 ",4
June,DreamHack Summer 2013,"$29,709 ",8
June,Tencent Games Arena Grand Prix Summer 2013,"$57,054 ",8
May,NVIDIA Game Festival 2013,"$29,294 ",4
April,OLYMPUS Champions Spring 2013,"$241,738 ",12
March,Tencent LoL Pro League Spring 2013,"$233,450 ",8
March,2013 MLG Winter Championship,"$15,000 ",4
March,IEM Season VII - World Championship,"$150,000 ",12
February,OGN Club Masters,"$29,467 ",6
February,Riot Season 3 EU Spring Season,"$100,000 ",8
February,Riot Season 3 NA Spring Season,"$100,000 ",8
January,IEM Season VII - Global Challenge Sao Paulo,"$44,000 ",8
January,IEM Season VII - Global Challenge Katowice,"$44,000 ",8
January,GIGABYTE StarsWar League Season 2,"$30,000 ",12
January,2013 GPL Spring,"$100,000 ",8
